,coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,Liquidity_Ratio,volatility
0,Bitcoin,BTC,40851.38,0.001,0.0,-0.027,20476118020,776077432316,0.026384117315323013,Stable
1,Ethereum,ETH,2824.42,0.004,0.0289999999999999,0.034,13640408875,339077214308,0.04022803154979847,Stable
2,Tether,USDT,1.0,-0.0,0.0,0.0,44131404071,80205879149,0.5502265487174106,High
3,BNB,BNB,389.61,0.002,0.016,-0.01,1425353937,65561157431,0.02174082936989203,Stable
4,USD Coin,USDC,0.999739,-0.001,0.0,-0.0,3569816487,52596068421,0.06787230669839728,Stable
5,XRP,XRP,0.796926,0.006,0.016,0.038,3642947060,38342363497,0.09501101986801187,Stable
6,Terra,LUNA,87.64,-0.0,-0.02,-0.118,1555363904,32256574723,0.04821850792765589,Stable
7,Solana,SOL,90.62,0.016,0.0579999999999999,0.0279999999999999,1921988835,29270600684,0.06566277391261753,Stable
8,Cardano,ADA,0.838396,0.002,0.018,-0.013,784436216,26891734979,0.029170160148185804,Stable
9,Avalanche,AVAX,79.78,0.002,0.083,0.027,1386901493,21282040395,0.065167693851659,Stable
10,Polkadot,DOT,18.88,0.001,0.02,0.0559999999999999,665211395,20667608398,0.03218618149666375,Stable
11,Binance USD,BUSD,0.999538,-0.001,-0.002,-0.001,3713594658,17812484632,0.20848268698733663,High
12,Dogecoin,DOGE,0.11685,0.001,0.011,-0.038,364002532,15509604862,0.023469491017907275,Stable
13,TerraUSD,UST,1.0,-0.0,-0.001,0.002,566868455,15173316373,0.0373595620802258,Stable
14,Shiba Inu,SHIB,2.2354322e-05,-0.002,-0.002,-0.063,435900196,12283647613,0.03548621791614074,Stable
15,Wrapped Bitcoin,WBTC,40815.68,-0.001,0.0,-0.0279999999999999,257062192,11140930359,0.02307367371633707,Stable
16,Cronos,CRO,0.40337,-0.001,0.004,-0.013,64923668,10212443722,0.006357309745574332,Low
17,Polygon,MATIC,1.46,0.009,0.012,-0.031,584477121,10031137796,0.0582662837343402,Stable
18,Dai,DAI,1.0,0.0,0.001,0.0,233460109,9445061382,0.02471769103003591,Stable
19,Cosmos Hub,ATOM,28.48,0.005,-0.012,-0.053,504577854,8263048473,0.06106437057082964,Stable
20,Litecoin,LTC,110.64,-0.002,0.011,0.037,541046078,7733039423,0.06996551399838893,Stable
21,Lido Staked Ether,STETH,2824.49,0.005,0.03,0.035,6987747,7293486788,0.0009580804357522064,Low
22,Near,NEAR,10.9,0.003,0.026,-0.063,392643350,7152121268,0.05489886640440001,Stable
23,Chainlink,LINK,14.54,0.003,0.009,0.037,555565709,6790110728,0.08181983052338819,Stable
24,TRON,TRX,0.060963260767,0.001,0.004,0.002,431830570,6203344202,0.0696125438051261,Stable
25,FTX Token,FTT,43.02,0.001,0.016,0.004,63018114,5917599044,0.010649270680800117,Low
26,LEO Token,LEO,6.23,0.004,0.044,0.068,1071771,5840393387,0.00018351007012398017,Low
27,Bitcoin Cash,BCH,297.65,0.002,0.006,-0.035,1192569491,5652413614,0.2109841162448237,High
28,OKB,OKB,19.98,0.001,0.049,0.075,170494374,5198998452,0.03279369585778826,Stable
29,Algorand,ALGO,0.755697,0.013,0.034,-0.017,138333415,5010872275,0.027606653574102524,Stable
30,Stellar,XLM,0.190708,0.003,0.021,0.009,202509305,4685689241,0.04321868023769782,Stable
31,Uniswap,UNI,9.22,0.002,0.02,0.003,158548328,4212948930,0.0376335746372316,Stable
32,Hedera,HBAR,0.206426,0.001,0.031,-0.031,50736623,4083726959,0.012424097768873387,Low
33,Axie Infinity,AXS,50.9,0.006,0.01,0.044,229754416,3771229668,0.06092294456355555,Stable
34,Decentraland,MANA,2.45,0.002,0.01,-0.019,385577318,3706590158,0.1040248048918496,Stable
35,The Sandbox,SAND,3.21,0.004,0.042,0.083,1054426538,3671953183,0.2871568577948288,High
36,Internet Computer,ICP,16.83,0.003,0.034,-0.037,139063958,3629124742,0.038318869668657975,Stable
37,Ethereum Classic,ETC,27.11,0.004,0.006,-0.036,254873416,3623500485,0.07033900424605573,Stable
38,Elrond,EGLD,159.18,-0.003,-0.02,0.121,163087133,3510358610,0.046458824045899974,Stable
39,Monero,XMR,187.35,0.003,-0.01,-0.0069999999999999,162222710,3388734398,0.047871178719625346,Stable
40,cETH,CETH,56.52,0.001,0.052,0.037,4709,3354874341,1.4036293229976448e-06,Low
41,VeChain,VET,0.048673709569,0.004,0.016,0.002,226027621,3250000117,0.06954695780400183,Stable
42,Filecoin,FIL,17.67,0.002,0.024,-0.062,194035869,3150729995,0.061584416724988204,Stable
43,Fantom,FTM,1.22,-0.003,0.001,-0.107,662240690,3103751456,0.21336782258121637,High
44,Klaytn,KLAY,1.1,0.004,-0.002,-0.032,40036524,3037372912,0.013181300143233779,Low
45,Osmosis,OSMO,9.33,0.002,-0.0069999999999999,-0.077,61428078,3010426563,0.020405107619959572,Stable
46,Waves,WAVES,28.78,0.003,0.0069999999999999,0.008,728914468,2875764773,0.2534680426033579,High
47,Frax,FRAX,0.999541,0.001,-0.0,-0.001,15926230,2873694989,0.005542073901705927,Low
48,Theta Network,THETA,2.87,0.003,0.019,-0.065,102779208,2860648763,0.03592863595466858,Stable
49,Magic Internet Money,MIM,0.998598,0.001,0.001,-0.002,57656794,2782892167,0.02071829971843821,Stable
50,Tezos,XTZ,3.1,0.003,0.017,-0.027,74557601,2726280216,0.027347739444550184,Stable
51,The Graph,GRT,0.4138,0.012,-0.06,0.193,215095821,2557806263,0.08409386751118453,Stable
52,cUSDC,CUSDC,0.022557565168,0.002,0.001,0.001,1167,2466484503,4.7314304978627306e-07,Low
53,THORChain,RUNE,8.08,0.006,0.1159999999999999,0.4639999999999999,384542700,2430711865,0.15820167973714153,High
54,Helium,HNT,22.94,0.004,0.057,0.057,21484397,2312307759,0.009291322453240965,Low
55,EOS,EOS,2.09,0.006,0.012,0.009,228300347,2061422334,0.11074894418020796,Stable
56,Flow,FLOW,5.72,0.01,0.052,-0.053,118680955,2031100138,0.058431858075133465,Stable
57,Aave,AAVE,147.18,0.0069999999999999,0.071,0.153,406722278,2009385126,0.2024113111704202,High
58,IOTA,MIOTA,0.714113,-0.0,0.003,-0.033,23553216,1985719860,0.011861298501592264,Low
59,ECOMI,OMI,0.003390695541,0.001,-0.0069999999999999,-0.253,3682195,1972387319,0.0018668721728888787,Low
60,cDAI,CDAI,0.021937899212,0.0,0.001,0.001,187,1928856560,9.694862950306684e-08,Low
61,Theta Fuel,TFUEL,0.164365,0.005,0.012,0.025,15319348,1886178774,0.0081218960849148,Low
62,Maker,MKR,2079.04,0.008,0.052,0.087,96980207,1874509741,0.05173630463411926,Stable
63,Zcash,ZEC,152.32,0.0,0.023,0.076,357248948,1862253242,0.1918369317034058,High
64,PancakeSwap,CAKE,6.51,0.002,0.172,0.043,449533416,1806774957,0.24880432079178968,High
65,JUNO,JUNO,39.16,0.003,0.021,-0.071,8314477,1786829872,0.004653200134097602,Low
66,Gala,GALA,0.230194,-0.001,0.01,-0.0139999999999999,598834885,1738051630,0.3445437837770101,High
67,BitTorrent,BTT,1.826877e-06,0.002,0.009,-0.017,72096087,1685671515,0.04276995034824445,Stable
68,Arweave,AR,33.62,0.016,0.034,-0.107,39217699,1683869236,0.023290228339322188,Stable
69,Huobi BTC,HBTC,40909.07,-0.001,-0.008,-0.027,2193840,1631618698,0.0013445788545382311,Low
70,Harmony,ONE,0.13101,0.0069999999999999,0.027,-0.035,66326965,1548715682,0.04282707650660956,Stable
71,Quant,QNT,114.66,0.005,0.018,-0.035,21373345,1538860559,0.013889071933774866,Low
72,eCash,XEC,7.9780188e-05,-0.002,0.0069999999999999,0.046,23608652,1517444421,0.01555816586972051,Low
73,Bitcoin SV,BSV,78.09,0.002,0.013,-0.065,82946701,1484128146,0.055889177240898445,Stable
74,NEO,NEO,20.65,0.001,0.026,-0.03,131240437,1456710686,0.09009368727868315,Stable
75,Huobi Token,HT,9.11,0.0,0.013,-0.001,29386478,1418233628,0.020720477515006434,Stable
76,TrueUSD,TUSD,1.0,0.0,-0.0,-0.001,96692815,1413028225,0.06842950005474943,Stable
77,Xido Finance,XIDO,48.68,0.047,0.5770000000000001,1.357,1489749,1388958494,0.0010725655276492374,Low
78,Celsius Network,CEL,3.27,0.001,0.03,0.0559999999999999,3708538,1388056538,0.0026717485192235017,Low
79,KuCoin Token,KCS,18.19,-0.006,-0.011,-0.032,8987570,1385861365,0.006485186921997786,Low
80,Enjin Coin,ENJ,1.42,0.004,0.017,0.021,113142084,1330338268,0.08504760535085201,Stable
81,Stacks,STX,1.26,0.004,0.001,0.119,24411447,1327159918,0.018393749441128013,Low
82,Humans.ai,HEART,0.041455610624,-0.006,-0.063,-0.5579999999999999,898844,1309127902,0.000686597542246869,Low
83,Celo,CELO,3.01,-0.025,0.195,0.044,746494395,1293158139,0.5772645838793271,High
84,Basic Attention Token,BAT,0.851143,0.002,0.035,0.241,207580189,1275120629,0.16279258940606472,High
85,Radix,XRD,0.128757,0.02,0.053,0.074,221810,1262403652,0.00017570449804117012,Low
86,NEXO,NEXO,2.21,0.006,0.0139999999999999,0.02,5428058,1240018250,0.004377401703563637,Low
87,Kusama,KSM,134.99,0.0069999999999999,0.064,0.0,69995764,1211430260,0.057779441632900934,Stable
